,料理名,魚介系,肉系,野菜系,フルーツ系,デザート系,乳製品,和食,パン,中華,カレー,イタリアン,スパイシーなもの,手軽なもの,がっつりしたもの,ふわっとしたもの,画像,URL
0,主人が、いくらでも食べれると絶賛のナス・ピーマン,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/eb2f27f434436225566c034083f98ddf2aaa0a50.50.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1290001623/
1,なすがとろける✿簡単❤焼きなすの煮びたし,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1f7d28e4fbbeed2f559e0ee7f2a56392702f8c2f.30.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1010011230/
2,オクラのおかか醤油,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b90eb2c1d9ae2f75ee4233062d8c4ff9a92eb76a.54.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1220003007/
3,ささみときゅうりの中華風酢の物,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/eb6820a8c1b7035022ebbd7cd621ece8221a65e8.97.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1180006148/
4,意外と簡単！フライパンでチーズタッカルビ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/eb64cb7361d78a05b550db793ed748fa476b4e46.87.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1620025077/
5,マヨった時は、フライパン1つの「マヨチキン」,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/2ffb60f5f4165b3d60025e2be58ae9c4022aac7a.33.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1720001297/
6,何度も作ってたどり着いた、絶品しっとり鶏ハム,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/01373fded3ea12091a6f9bcd70de99b71405a5bd.19.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1410009692/
7,簡単！フライパンだけでローストビーフ♡,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/4d60668203b4a36083db322f0fdbf645eecc06b0.31.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1810016351/
8,缶詰で簡単♪鯖と玉ねぎの味噌煮,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dbd46ce3649369c1262eff5e72a730a018543920.49.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1760025875/
9,【コツ】鮎の塩焼き・グリルで美味しい鮎の焼き方,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/55d516dd2ddc38a923e286d778c8a9a643de2f24.86.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1220011789/
10,万能!!黄金比の照り焼きのタレ,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/4f889a344d9efe26f9531fd0262fc1329f641003.78.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1770021366/
11,炊飯器に鯛を丸ごとはダメ！美味しい鯛飯を炊くコツ！,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/e216095ef081be50003651154fcc0a7c618ab40f.82.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1390032255/
12,3分で簡単ニラ玉,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/313831a352e76a1f11085541858c10eb3b7251d5.93.2.3.2.jpg,https://recipe.rakuten.co.jp/recipe/1010018283/
